역명,어린이_해당역,일반_해당역,어린이_전체,일반_전체,z통계량,p값,어린이비율,일반비율,어린이_더많음,유의미
교대(법원.검찰청),448,8529,264364,3782464,-5.91948733471257,3.229467066996564e-09,0.0016946331573134013,0.0022548793590632986,False,True
대청,63,415,264364,3782464,5.881805455305938,4.0581517269357174e-09,0.00023830778774719706,0.00010971684066259454,True,True
이촌(국립중앙박물관),1338,16205,264364,3782464,5.878657944346855,4.136060447428117e-09,0.005061203492154756,0.004284244344427336,True,True
송파,43,241,264364,3782464,5.8710270315328925,4.331036382418024e-09,0.00016265452179570593,6.371508096309708e-05,True,True
목동,139,1183,264364,3782464,5.8598541370728405,4.632739145674894e-09,0.0005257901983628633,0.0003127590903707213,True,True
강남구청,92,2420,264364,3782464,-5.823489959334017,5.763127839416745e-09,0.0003480050233768592,0.0006397945889240452,False,True
마포,1118,13377,264364,3782464,5.761519227819068,8.336016464447272e-09,0.004229017566688354,0.0035365835603458485,True,True
상봉,124,1033,264364,3782464,5.7613527863298835,8.3442423885399e-09,0.00046905024889924495,0.0002731024009746028,True,True
천왕,33,176,264364,3782464,5.41593973570918,6.096763499101094e-08,0.00012482788881996036,4.6530515558112386e-05,True,True
왕십리(성동구청),360,6784,264364,3782464,-5.1128744151176875,3.1729325179973573e-07,0.0013617587871268403,0.0017935398724217865,False,True
신도림,239,4767,264364,3782464,-5.037860529331882,4.707642624974624e-07,0.0009040565281203189,0.0012602895890086463,False,True
강동,25,947,264364,3782464,-4.997733997145155,5.800792736424418e-07,9.456658243936391e-05,0.00025036589905416153,False,True
학동,231,4605,264364,3782464,-4.944706810175377,7.625854688500284e-07,0.0008737952217397225,0.0012174603644608383,False,True
하계,31,181,264364,3782464,4.767108439982306,1.8688873245568604e-06,0.00011726256222481124,4.785240520464967e-05,True,True
시청,8690,118024,264364,3782464,4.761955476931519,1.917259885083823e-06,0.032871344055922895,0.031202940728583272,True,True
동작(현충원),35,1080,264364,3782464,-4.58654098654877,4.506499657420067e-06,0.00013239321541510946,0.0002855281636520533,False,True
신용산,1189,19478,264364,3782464,-4.54660286991217,5.451872898347592e-06,0.004497586660816147,0.005149553307050642,False,True
낙성대(강감찬),61,1543,264364,3782464,-4.425050673662833,9.641964745868077e-06,0.00023074246115204793,0.0004079351449214057,False,True
창동,65,539,264364,3782464,4.206407530950525,2.594621744094433e-05,0.00024587311434234616,0.00014249970389671918,True,True
장승배기,2,308,264364,3782464,-4.195190961133602,2.7264178867328533e-05,7.565326595149113e-06,8.142840222669667e-05,False,True
구로디지털단지,622,10551,264364,3782464,-4.136399937220089,3.527970912665119e-05,0.002352816571091374,0.002789451532122976,False,True
문래,211,2244,264364,3782464,4.136086942126484,3.532783869000295e-05,0.0007981419557882314,0.0005932640733659329,True,True
광흥창(서강),49,1259,264364,3782464,-4.078972386446042,4.523520896329725e-05,0.00018535050158115325,0.000332851812998088,False,True
홍제,133,2726,264364,3782464,-4.070932203467719,4.6825377004983255e-05,0.000503094218577416,0.0007206942352921271,False,True
개롱,18,95,264364,3782464,4.042419053439215,5.290257814032253e-05,6.808793935634202e-05,2.511590328420839e-05,True,True
월드컵경기장(성산),187,3606,264364,3782464,-3.9959132604837007,6.444532867504466e-05,0.000707358036646442,0.000953346813082689,False,True
광명사거리,57,477,264364,3782464,3.8733503171636086,0.00010734934840332861,0.00021561180796174972,0.00012610827227965685,True,True
까치산,143,1463,264364,3782464,3.846855731646549,0.00011964337074995783,0.0005409208515531615,0.0003867849105768092,True,True
문정,40,1036,264364,3782464,-3.7375901798993754,0.00018579246042336716,0.00015130653190298225,0.0002738955347625252,False,True
동대입구,1078,17318,264364,3782464,-3.7005676198298665,0.0002151177456019173,0.004077711034785372,0.004578496979746535,False,True
마들,11,49,264364,3782464,3.6992458678521025,0.00021624104248393013,4.160929627332012e-05,1.2954518536065379e-05,True,True
봉화산(서울의료원),15,81,264364,3782464,3.6053249132721232,0.0003117626251070976,5.673994946361834e-05,2.1414612273903993e-05,True,True
잠실새내,395,4686,264364,3782464,3.5834265202341298,0.0003391161918491915,0.0014941520025419498,0.0012388749767347422,True,True
상도,7,356,264364,3782464,-3.550239736087486,0.0003848804877628372,2.6478643083021896e-05,9.41185428334546e-05,False,True
아현,115,2296,264364,3782464,-3.5039795430761047,0.0004583605673020045,0.000435006279221074,0.0006070117256899207,False,True
디지털미디어시티,86,1805,264364,3782464,-3.493674066486043,0.0004764222845393295,0.00032530904359141186,0.0004772021623999594,False,True
노원,297,5210,264364,3782464,-3.42443272905519,0.0006160843512608106,0.0011234509993796433,0.0013774090116918495,False,True
모란,25,176,264364,3782464,3.3881978037505047,0.0007035350744791634,9.456658243936391e-05,4.6530515558112386e-05,True,True
애오개,128,2469,264364,3782464,-3.308778106276684,0.0009370406976215185,0.0004841809020895432,0.0006527491074601107,False,True
