시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1740728,건축)대합실화장실-고덕_지상1층,5호선,2553,고덕,552,20210527,,외부,지하,1,대합실 지하1층 1번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740729,건축)대합실화장실-상일동_지상1층,5호선,2554,상일동,553,20210527,,외부,지하,7,대합실 지하1층 7번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740730,건축)대합실화장실-강일_지하1층(대합실 나),5호선,2562,강일,554,20210527,,외부,지하,3,대합실 지하2층 3번 출입구측,"일반(남,여) / 교통약자(남,여)",B2,Y
1740731,건축)대합실화장실-강일_지하1층(대합실 가),5호선,2562,강일,554,20210527,,외부,지하,4,대합실 지하2층 4번 출입구측,"일반(남,여) / 교통약자(남,여)",B2,Y
1740732,건축)대합실화장실-미사_지하1층(외부),5호선,2563,미사,555,20210527,,외부,지하,5,대합실 지하1층 5번 출입구옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740733,건축)대합실화장실-미사_지하1층(내부),5호선,2563,미사,555,20210527,,내부,지하,1.5,대합실 지하1층 방화방면 내부계단옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740734,건축)대합실화장실-하남시청_지하1층,5호선,2565,하남시청,557,20210527,,외부,지하,1~3,대합실 지하1층 1~3번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740735,건축)대합실화장실-하남검단산_지하1층,5호선,2566,하남검단산,558,20210527,,외부,지하,"1,2","대합실 지하1층 1,2번 출입구 앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740737,건축)대합실화장실-둔촌동_지하1층,5호선,2555,둔촌동,P549,20210527,,외부,지하,"3,4","대합실 지하1층, 3,4번 출입구 방향","일반(남,여) / 교통약자(남,여)",B1,Y
1740738,건축)대합실화장실-올림픽공원(5)_지하2층,5호선,2556,올림픽공원,P550,20210527,,외부,지하,2,대합실 지하1층 2번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740739,건축)대합실화장실-방이_지하1층,5호선,2557,방이,P551,20210527,,외부,지하,"3,4","대합실 지하1층 3,4번 출입구방향","일반(남,여) / 교통약자(남,여)",B1,Y
1740740,건축)대합실화장실-오금(5)_지하1층,5호선,2558,오금,P552,20210527,,내부,지하,"6,7",대합실 지하1층 방이역 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740741,건축)대합실화장실-개롱_지하1층,5호선,2559,개롱,P553,20210527,,외부,지하,"1,4","1,4번호 출입구 사이","일반(남,여) / 교통약자(남,여)",B1,Y
1740742,건축)대합실화장실-거여_지하1층,5호선,2560,거여,P554,20210527,,외부,지하,8,대합실 1층 8번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
