datetime_full,호선,역명,사용일수구분,승차건수,하차건수
2024-01-17 14:00:00,3호선,안국,1일권,0,2
2024-01-17 16:00:00,3호선,안국,1일권,2,0
2024-01-17 17:00:00,1호선,종로5가,1일권,3,0
2024-01-17 17:00:00,2호선,잠실(송파구청),1일권,0,2
2024-01-17 18:00:00,2호선,잠실(송파구청),1일권,2,0
2024-01-17 18:00:00,2호선,선릉,1일권,0,3
2024-01-17 19:00:00,4호선,명동,1일권,0,2
2024-01-17 21:00:00,4호선,명동,1일권,2,0
2024-01-17 22:00:00,1호선,동묘앞,1일권,0,2
2024-01-18 10:00:00,3호선,종로3가,1일권,8,0
2024-01-18 10:00:00,5호선,종로3가,1일권,6,0
2024-01-18 11:00:00,1호선,시청,1일권,3,3
2024-01-18 11:00:00,1호선,동묘앞,1일권,0,3
2024-01-18 11:00:00,2호선,뚝섬,1일권,0,2
2024-01-18 11:00:00,2호선,성수,1일권,0,4
2024-01-18 11:00:00,2호선,삼성(무역센터),1일권,0,5
2024-01-18 11:00:00,3호선,압구정,1일권,0,5
2024-01-18 11:00:00,5호선,종로3가,1일권,5,0
2024-01-18 12:00:00,2호선,을지로입구,1일권,2,0
2024-01-18 12:00:00,2호선,홍대입구,1일권,0,2
2024-01-18 12:00:00,3호선,안국,1일권,3,0
2024-01-18 12:00:00,5호선,종로3가,1일권,2,0
2024-01-18 13:00:00,1호선,동묘앞,1일권,2,0
2024-01-18 13:00:00,2호선,왕십리(성동구청),1일권,0,2
2024-01-18 13:00:00,2호선,성수,1일권,4,0
2024-01-18 13:00:00,2호선,신촌,1일권,2,2
2024-01-18 13:00:00,8호선,장지,1일권,0,1
2024-01-18 14:00:00,2호선,성수,1일권,0,5
2024-01-18 14:00:00,2호선,잠실새내,1일권,1,1
2024-01-18 14:00:00,2호선,삼성(무역센터),1일권,5,0
2024-01-18 14:00:00,4호선,명동,1일권,0,6
2024-01-18 14:00:00,4호선,명동,3일권,1,0
2024-01-18 14:00:00,8호선,잠실(송파구청),1일권,0,1
2024-01-18 14:00:00,8호선,장지,1일권,1,0
2024-01-18 15:00:00,1호선,동묘앞,1일권,1,0
2024-01-18 15:00:00,2호선,홍대입구,1일권,2,5
2024-01-18 15:00:00,3호선,종로3가,1일권,0,1
2024-01-18 15:00:00,5호선,종로3가,1일권,0,2
2024-01-18 16:00:00,2호선,을지로4가,5일권,0,1
2024-01-18 16:00:00,5호선,종로3가,1일권,0,2
2024-01-18 16:00:00,6호선,합정,5일권,1,0
2024-01-18 17:00:00,1호선,종각,1일권,0,5
2024-01-18 17:00:00,2호선,을지로입구,1일권,4,0
2024-01-18 17:00:00,2호선,성수,1일권,5,0
2024-01-18 17:00:00,2호선,잠실(송파구청),1일권,1,0
2024-01-18 17:00:00,2호선,홍대입구,1일권,5,0
2024-01-18 17:00:00,3호선,종로3가,1일권,0,4
2024-01-18 18:00:00,2호선,강남,3일권,1,0
2024-01-18 18:00:00,5호선,종로3가,1일권,0,6
2024-01-18 19:00:00,2호선,홍대입구,3일권,0,1
2024-01-18 21:00:00,1호선,시청,3일권,1,0
2024-01-18 21:00:00,1호선,종각,3일권,1,2
2024-01-18 21:00:00,2호선,시청,3일권,0,1
2024-01-18 21:00:00,2호선,홍대입구,3일권,1,0
2024-01-18 22:00:00,5호선,종로3가,1일권,11,0
2024-01-18 23:00:00,6호선,마포구청,5일권,0,1
2024-01-18 23:00:00,6호선,이태원,1일권,0,11
2024-01-19 12:00:00,1호선,서울역,7일권,1,0
2024-01-19 13:00:00,1호선,종로3가,3일권,1,0
2024-01-19 13:00:00,2호선,홍대입구,5일권,1,0
2024-01-19 13:00:00,3호선,안국,3일권,0,1
2024-01-19 13:00:00,5호선,아차산(어린이대공원후문),5일권,0,1
2024-01-19 15:00:00,3호선,종로3가,3일권,1,0
2024-01-19 16:00:00,3호선,경복궁(정부서울청사),3일권,0,1
2024-01-19 17:00:00,1호선,동대문,7일권,0,1
2024-01-19 18:00:00,2호선,시청,3일권,0,1
2024-01-19 18:00:00,5호선,광화문(세종문화회관),3일권,1,0
2024-01-19 19:00:00,1호선,서울역,3일권,0,1
2024-01-19 19:00:00,1호선,시청,3일권,1,0
2024-01-19 19:00:00,4호선,명동,3일권,0,1
2024-01-19 19:00:00,4호선,서울역,3일권,1,0
2024-01-19 20:00:00,4호선,동대문,1일권,0,1
2024-01-19 20:00:00,5호선,광화문(세종문화회관),5일권,0,1
2024-01-19 20:00:00,5호선,아차산(어린이대공원후문),5일권,1,0
2024-01-19 21:00:00,1호선,종각,3일권,0,1
2024-01-19 21:00:00,4호선,동대문,1일권,1,0
2024-01-19 21:00:00,4호선,명동,3일권,1,0
2024-01-19 21:00:00,5호선,광화문(세종문화회관),5일권,1,0
2024-01-19 22:00:00,2호선,홍대입구,5일권,0,1
2024-01-19 22:00:00,5호선,광화문(세종문화회관),1일권,1,1
2024-01-19 23:00:00,1호선,서울역,1일권,0,1
2024-01-20 10:00:00,6호선,동묘앞,7일권,1,0
2024-01-20 11:00:00,1호선,종각,3일권,2,1
2024-01-20 11:00:00,2호선,잠실(송파구청),7일권,0,1
2024-01-20 11:00:00,3호선,경복궁(정부서울청사),3일권,0,1
2024-01-20 11:00:00,3호선,안국,3일권,1,1
2024-01-20 13:00:00,3호선,경복궁(정부서울청사),3일권,1,0
2024-01-20 13:00:00,3호선,안국,3일권,0,1
2024-01-20 17:00:00,1호선,종로3가,3일권,0,1
2024-01-20 17:00:00,3호선,안국,3일권,1,0
2024-01-20 18:00:00,1호선,종로3가,3일권,1,0
2024-01-20 18:00:00,5호선,마장,3일권,0,1
2024-01-20 20:00:00,1호선,종각,3일권,0,1
2024-01-20 20:00:00,5호선,마장,3일권,1,0
2024-01-20 21:00:00,2호선,잠실(송파구청),7일권,1,0
2024-01-20 21:00:00,6호선,동묘앞,7일권,0,1
2024-01-21 10:00:00,2호선,홍대입구,5일권,1,0
2024-01-21 10:00:00,2호선,신촌,5일권,0,1
2024-01-21 12:00:00,1호선,종로3가,7일권,0,1
2024-01-21 12:00:00,6호선,동묘앞,7일권,1,0
2024-01-21 13:00:00,2호선,신촌,5일권,1,0
2024-01-21 14:00:00,4호선,충무로,5일권,0,1
2024-01-21 17:00:00,1호선,동대문,7일권,0,1
2024-01-21 17:00:00,3호선,안국,7일권,1,0
2024-01-21 18:00:00,4호선,충무로,5일권,1,0
2024-01-21 19:00:00,3호선,연신내,5일권,0,1
2024-01-21 21:00:00,2호선,홍대입구,5일권,0,1
2024-01-21 21:00:00,3호선,연신내,5일권,1,0
2024-01-22 14:00:00,3호선,경복궁(정부서울청사),5일권,1,0
2024-01-22 14:00:00,3호선,약수,7일권,0,1
2024-01-22 14:00:00,4호선,회현(남대문시장),5일권,0,1
2024-01-22 14:00:00,6호선,동묘앞,7일권,1,0
2024-01-22 17:00:00,2호선,을지로입구,7일권,2,1
2024-01-22 17:00:00,2호선,홍대입구,7일권,0,1
2024-01-22 17:00:00,4호선,회현(남대문시장),5일권,1,0
2024-01-22 18:00:00,6호선,마포구청,5일권,0,1
2024-01-22 19:00:00,6호선,상수,7일권,1,0
2024-01-22 20:00:00,6호선,동묘앞,7일권,0,1
2024-01-23 11:00:00,6호선,동묘앞,7일권,1,0
2024-01-24 08:00:00,3호선,경복궁(정부서울청사),3일권,0,2
2024-01-24 08:00:00,4호선,명동,3일권,2,0
2024-01-24 10:00:00,3호선,경복궁(정부서울청사),3일권,2,0
2024-01-24 11:00:00,3호선,안국,3일권,0,2
2024-01-24 13:00:00,1호선,종각,3일권,2,0
2024-01-24 13:00:00,4호선,동대문,7일권,0,1
2024-01-24 16:00:00,2호선,시청,7일권,1,0
2024-01-24 16:00:00,2호선,홍대입구,7일권,0,1
2024-01-24 17:00:00,2호선,성수,3일권,0,2
2024-01-24 17:00:00,2호선,삼성(무역센터),3일권,2,0
2024-01-24 17:00:00,2호선,홍대입구,7일권,1,0
2024-01-24 18:00:00,2호선,성수,3일권,2,0
2024-01-24 18:00:00,4호선,명동,3일권,0,2
2024-01-25 10:00:00,1호선,서울역,3일권,2,0
2024-01-25 10:00:00,4호선,서울역,3일권,1,0
2024-01-25 10:00:00,4호선,서울역,7일권,7,0
2024-01-25 11:00:00,1호선,시청,3일권,0,5
2024-01-25 11:00:00,3호선,경복궁(정부서울청사),7일권,0,2
2024-01-25 11:00:00,3호선,안국,3일권,0,1
2024-01-25 11:00:00,3호선,안국,7일권,0,7
2024-01-25 11:00:00,4호선,서울역,7일권,2,0
2024-01-25 15:00:00,1호선,서울역,3일권,0,5
2024-01-25 15:00:00,1호선,시청,3일권,5,0
2024-01-25 16:00:00,1호선,서울역,3일권,5,0
2024-01-25 16:00:00,4호선,회현(남대문시장),3일권,0,5
2024-01-25 17:00:00,5호선,발산,3일권,2,0
2024-01-25 18:00:00,4호선,명동,3일권,0,2
2024-01-25 18:00:00,4호선,회현(남대문시장),3일권,5,0
2024-01-25 18:00:00,4호선,서울역,3일권,0,5
2024-01-25 19:00:00,1호선,서울역,3일권,5,0
2024-01-25 19:00:00,4호선,명동,3일권,1,0
2024-01-25 19:00:00,4호선,명동,7일권,7,0
2024-01-25 19:00:00,4호선,숙대입구(갈월),3일권,0,1
2024-01-25 19:00:00,4호선,숙대입구(갈월),7일권,0,7
2024-01-26 09:00:00,1호선,서울역,3일권,3,0
2024-01-26 09:00:00,1호선,서울역,7일권,6,0
2024-01-26 09:00:00,2호선,을지로입구,7일권,2,0
2024-01-26 09:00:00,4호선,명동,3일권,2,0
2024-01-26 09:00:00,4호선,서울역,3일권,0,2
2024-01-26 10:00:00,2호선,을지로4가,7일권,0,2
2024-01-26 10:00:00,2호선,잠실(송파구청),3일권,0,5
2024-01-26 10:00:00,3호선,경복궁(정부서울청사),3일권,0,1
2024-01-26 10:00:00,3호선,경복궁(정부서울청사),7일권,0,6
2024-01-26 14:00:00,2호선,잠실(송파구청),3일권,1,0
2024-01-26 14:00:00,2호선,합정,3일권,0,2
2024-01-26 15:00:00,1호선,서울역,3일권,0,1
2024-01-26 15:00:00,1호선,서울역,7일권,0,7
2024-01-26 15:00:00,1호선,종각,3일권,1,0
