,datetime_full,호선,역명,사용일수구분,승차건수,하차건수
214,2024-01-18 17:00:00,2호선,을지로입구,1일권,4,0
215,2024-01-18 17:00:00,2호선,성수,1일권,5,0
216,2024-01-18 17:00:00,2호선,잠실(송파구청),1일권,1,0
217,2024-01-18 17:00:00,2호선,홍대입구,1일권,5,0
218,2024-01-18 17:00:00,3호선,종로3가,1일권,0,4
219,2024-01-18 18:00:00,2호선,강남,3일권,1,0
220,2024-01-18 18:00:00,5호선,종로3가,1일권,0,6
221,2024-01-18 19:00:00,2호선,홍대입구,3일권,0,1
222,2024-01-18 21:00:00,1호선,시청,3일권,1,0
223,2024-01-18 21:00:00,1호선,종각,3일권,1,2
224,2024-01-18 21:00:00,2호선,시청,3일권,0,1
225,2024-01-18 21:00:00,2호선,홍대입구,3일권,1,0
226,2024-01-18 22:00:00,5호선,종로3가,1일권,11,0
227,2024-01-18 22:00:00,6호선,마포구청,5일권,0,0
228,2024-01-18 23:00:00,6호선,마포구청,5일권,0,1
229,2024-01-18 23:00:00,6호선,이태원,1일권,0,11
230,2024-01-19 12:00:00,1호선,서울역,7일권,1,0
231,2024-01-19 13:00:00,1호선,종로3가,3일권,1,0
232,2024-01-19 13:00:00,2호선,홍대입구,5일권,1,0
233,2024-01-19 13:00:00,3호선,안국,3일권,0,1
234,2024-01-19 13:00:00,5호선,아차산(어린이대공원후문),5일권,0,1
235,2024-01-19 15:00:00,1호선,서울역,7일권,0,0
236,2024-01-19 15:00:00,3호선,종로3가,3일권,1,0
237,2024-01-19 16:00:00,1호선,동대문,7일권,0,0
238,2024-01-19 16:00:00,3호선,경복궁(정부서울청사),3일권,0,1
239,2024-01-19 17:00:00,1호선,동대문,7일권,0,1
240,2024-01-19 18:00:00,2호선,시청,3일권,0,1
241,2024-01-19 18:00:00,5호선,광화문(세종문화회관),3일권,1,0
242,2024-01-19 19:00:00,1호선,서울역,3일권,0,1
243,2024-01-19 19:00:00,1호선,시청,3일권,1,0
244,2024-01-19 19:00:00,4호선,동대문,1일권,0,0
245,2024-01-19 19:00:00,4호선,명동,3일권,0,1
246,2024-01-19 19:00:00,4호선,서울역,3일권,1,0
247,2024-01-19 20:00:00,4호선,동대문,1일권,0,1
248,2024-01-19 20:00:00,5호선,광화문(세종문화회관),5일권,0,1
249,2024-01-19 20:00:00,5호선,아차산(어린이대공원후문),5일권,1,0
