역명,어린이_해당역,일반_해당역,어린이_전체,일반_전체,z통계량,p값,어린이비율,일반비율,어린이_더많음,유의미
우장산,52,198,267473,3676074,8.81470429220573,1.2000137028624777e-18,0.0001944121462727079,5.386181018118786e-05,True,True
광화문(세종문화회관),2627,30254,267473,3676074,8.739874555624361,2.3336941146380903e-18,0.009821552081892377,0.008229975783947767,True,True
신촌,1871,31548,267473,3676074,-8.644270597814227,5.4150088444801974e-18,0.006995098570696855,0.008581981755535933,False,True
동대문,6774,83778,267473,3676074,8.453767406742282,2.820509161941627e-17,0.025325920747140834,0.022790074410906854,True,True
합정,2284,37526,267473,3676074,-8.336694634525092,7.639601837873293e-17,0.008539179655516631,0.010208173176056847,False,True
공덕,2665,31168,267473,3676074,8.04012479992901,8.974702034423947e-16,0.00996362249647628,0.008478610604683148,True,True
청구,136,3687,267473,3676074,-7.934422746247736,2.114766071174382e-15,0.0005084625364055438,0.0010029721926163619,False,True
논현,90,2802,267473,3676074,-7.853087699022775,4.059176132147306e-15,0.00033648256085660983,0.0007622262228671131,False,True
동대입구,954,16892,267473,3676074,-7.6508650034229,1.996318332358171e-14,0.003566715145080064,0.004595119684750634,False,True
상계,50,221,267473,3676074,7.639014825752191,2.1889010481873823e-14,0.0001869347560314499,6.011848510122484e-05,True,True
상수,873,15537,267473,3676074,-7.467010825606625,8.203702152514552e-14,0.0032638808403091155,0.004226519923157151,False,True
종로3가,6429,97073,267473,3676074,-7.404530354719837,1.3161542120803192e-13,0.024036070930523828,0.026406704544032576,False,True
종로5가,5403,82212,267473,3676074,-7.330949495077834,2.285277822854029e-13,0.020200169736758478,0.02236407645765564,False,True
사당,382,7570,267473,3676074,-7.024526449024234,2.147934874127084e-12,0.0014281815360802773,0.002059262136725213,False,True
안암(고대병원앞),73,2206,267473,3676074,-6.79769346725994,1.0630734023800985e-11,0.00027292474380591683,0.0006000967336348506,False,True
안국,8717,111292,267473,3676074,6.731063697283737,1.684272075482494e-11,0.032590205366522976,0.03027468979133717,True,True
새절(신사),76,470,267473,3676074,6.632676278147195,3.296542785270555e-11,0.00028414082916780386,0.00012785379184423383,True,True
홍제,116,2921,267473,3676074,-6.496430612641551,8.224802336591941e-11,0.00043368863399296376,0.0007945977148446958,False,True
성신여대입구(돈암),1191,13477,267473,3676074,6.4526097167631695,1.0994023311861445e-10,0.0044527858886691364,0.0036661394737973175,True,True
강남구청,72,2055,267473,3676074,-6.233259617174949,4.5682813676911344e-10,0.0002691860486852879,0.0005590203026380862,False,True
노원,274,5510,267473,3676074,-6.1909012903161695,5.982116424468539e-10,0.0010244024630523454,0.0014988816873653795,False,True
학동,215,4497,267473,3676074,-6.063416835366707,1.3325970193571147e-09,0.0008038194509352346,0.0012233159615394032,False,True
용두(동대문구청),162,1353,267473,3676074,6.054513409702571,1.4084274266541074e-09,0.0006056686095418977,0.00036805570290478375,True,True
당산,50,1596,267473,3676074,-6.043640193949008,1.506753302098941e-09,0.0001869347560314499,0.0004341588335816961,False,True
숙대입구(갈월),866,14644,267473,3676074,-5.950526518675512,2.672812600559445e-09,0.003237709974464712,0.003983597718653107,False,True
약수,370,6957,267473,3676074,-5.904097348369702,3.545827512207637e-09,0.0013833171946327292,0.00189250814863901,False,True
올림픽공원(한국체대),91,2284,267473,3676074,-5.721136651494068,1.0581374641383946e-08,0.00034022125597723884,0.0006213150224941065,False,True
녹번,116,922,267473,3676074,5.629256613450622,1.8098796183713734e-08,0.00043368863399296376,0.00025081105549017786,True,True
독바위,35,178,267473,3676074,5.600872518551823,2.1327554658272943e-08,0.00013085432922201493,4.8421223294199194e-05,True,True
종각,2570,39443,267473,3676074,-5.4532053382817525,4.946988867051286e-08,0.009608446460016525,0.010729653429174712,False,True
장지,154,1339,267473,3676074,5.428988616539022,5.6674298330872765e-08,0.0005757590485768657,0.0003642472920838917,True,True
왕십리(성동구청),344,6352,267473,3676074,-5.358436069090635,8.39454303816189e-08,0.0012861111214963754,0.0017279303953076025,False,True
신대방,73,1861,267473,3676074,-5.262181495257554,1.423561344050344e-07,0.00027292474380591683,0.000506246609834296,False,True
낙성대(강감찬),53,1492,267473,3676074,-5.2411291614185425,1.5959694996057652e-07,0.00019815084139333689,0.000405867781769355,False,True
상봉,121,1011,267473,3676074,5.22790862761895,1.7143819336971558e-07,0.00045238210959610875,0.0002750216671372774,True,True
교대(법원.검찰청),455,8028,267473,3676074,-5.202870604769776,1.962335059162103e-07,0.001701106279886194,0.0021838515764372535,False,True
시청,11909,156171,267473,3676074,5.045226518475066,4.529843875301248e-07,0.04452412019157074,0.0424830947363954,True,True
강일,20,85,267473,3676074,4.998335403116074,5.782733736925217e-07,7.477390241257996e-05,2.312249426970186e-05,True,True
대청,65,469,267473,3676074,4.953617156518674,7.284646449939153e-07,0.00024301518284088486,0.0001275817624998844,True,True
혜화,769,12663,267473,3676074,-4.8821546377335725,1.049329143913794e-06,0.0028750565477636994,0.0034447075874968784,False,True
구로디지털단지,676,11233,267473,3676074,-4.808072841724071,1.5239224180712356e-06,0.0025273579015452027,0.0030557056250771885,False,True
하남검단산,86,688,267473,3676074,4.78973737334625,1.6699973903809374e-06,0.00032152778037409385,0.00018715618891241035,True,True
하계,31,173,267473,3676074,4.779246925795223,1.759529927701101e-06,0.00011589954873949895,4.706107657245202e-05,True,True
가산디지털단지,370,3927,267473,3676074,4.768443209378838,1.8565499134256409e-06,0.0013833171946327292,0.001068259235260226,True,True
신용산,1124,17860,267473,3676074,-4.733580184604954,2.205937583071226e-06,0.004202293315586994,0.004858444090080885,False,True
